Mthly_HH_Income,Mthly_HH_Expense,No_of_Fly_Members,Emi_or_Rent_Amt,Annual_HH_Income,Highest_Qualified_Member,No_of_Earning_Members
62435.61663863075,57362.128551480884,8,11235.058848634,749227.399663569,Under-Graduate,1
143100.00289738827,45207.22747580903,3,9000.521873636175,1717200.0347686592,Professional,3
112479.15185359672,28214.57122147458,8,4427.779211162069,1349749.8222431606,Professional,2
93812.18778758512,66034.62647802115,5,5165.4478562007835,1125746.2534510214,Professional,1
31842.60966194111,56354.83794154094,1,29233.535022129436,382111.31594329333,Under-Graduate,0
31839.23284706837,17196.270450866847,7,34410.39329332977,382070.79416482046,Post-Graduate,0
18131.705703547923,73319.53883703818,5,19868.94942322005,217580.46844257507,Post-Graduate,1
131264.66040849092,66690.29321923768,6,23994.85407960366,1575175.924901891,Illiterate,0
94156.10164404924,76234.9934968943,6,34298.38679914921,1129873.219728591,Professional,3
109130.16089144637,59428.963129127,8,868.9895092739819,1309561.9306973564,Post-Graduate,3
12881.829201412344,51006.13969518424,9,16156.532853513927,154581.95041694812,Illiterate,0
145787.3793026792,36368.227721796415,2,48654.88740351732,1749448.5516321505,Post-Graduate,2
126541.96971205904,74954.636251551,9,29005.611484773402,1518503.6365447086,Professional,4
39727.475494958664,69954.79171253063,10,12711.228994874662,476729.70593950397,Graduate,1
35455.49540899409,8391.400257964206,9,26086.502331810658,425465.94490792905,Professional,1
35676.631379480736,6977.5230872939,10,17132.674406045768,428119.5765537688,Under-Graduate,0
52593.91401433528,33234.75251585372,10,26612.249441314954,631126.9681720233,Post-Graduate,2
83465.9004285133,65791.49980863747,7,6287.075590332442,1001590.8051421596,Post-Graduate,1
70472.3026098962,79045.70969862083,1,6635.73269096387,845667.6313187544,Under-Graduate,0
50772.07962772587,16281.266832764613,7,7177.118101969643,609264.9555327104,Under-Graduate,1
95659.40526113313,49559.80365141013,10,46990.989596342086,1147912.8631335977,Graduate,4
29529.140491285856,33566.81424732661,5,36644.94591706709,354349.6858954303,Post-Graduate,1
50900.25079493054,77743.57983609525,6,8119.094733116044,610803.0095391665,Post-Graduate,4
61290.65806111684,68158.91923517815,10,9417.454188280071,735487.896733402,Graduate,4
73849.79779038503,67874.65285333534,7,36541.473743543815,886197.5734846203,Illiterate,1
119924.63459502191,40151.986984622774,5,7808.192239608697,1439095.615140263,Graduate,3
37954.32950217037,36111.46267532489,7,11728.064666741433,455451.9540260444,Professional,0
81992.82137790562,25505.53039480297,9,48167.34164101995,983913.8565348675,Post-Graduate,1
92938.03964068595,9228.162248819533,3,12765.326236421592,1115256.4756882314,Under-Graduate,1
16503.05778079968,69854.17821912898,8,33081.61751855734,198036.69336959618,Professional,0
95056.27926620137,65967.57568475581,2,48931.56437002652,1140675.3511944164,Post-Graduate,1
33873.37731622081,79978.82549645979,7,18714.838356989632,406480.5277946497,Graduate,2
19107.223017939134,79747.76278054291,2,875.7995431031118,229286.6762152696,Professional,0
142843.97521546666,46657.37792019706,4,12207.364521118714,1714127.7025855999,Post-Graduate,4
145188.48463043832,62674.05613853829,7,41543.859567085274,1742261.81556526,Illiterate,0
123175.62873630456,75857.4297411821,3,43230.44179775183,1478107.5448356546,Illiterate,2
52645.9276842719,68723.55430080586,2,38425.96822618956,631751.1322112628,Under-Graduate,0
23674.09596089374,23551.107630739825,10,5655.490953828651,284089.1515307249,Post-Graduate,0
105792.62371170196,38790.81014825701,7,39775.51858482016,1269511.4845404236,Illiterate,1
71621.34912354418,14686.956136362123,1,45933.889849675215,859456.1894825301,Graduate,0
27085.352878269037,76553.82704440418,8,30030.477127311806,325024.23453922843,Post-Graduate,2
79324.76741557782,50463.097583816,3,47043.767816903244,951897.2089869338,Graduate,1
14814.392956130576,22148.210412759705,2,41341.94418559387,177772.7154735669,Graduate,1
137304.8562910295,55377.55133043925,3,33348.57584954536,1647658.2754923538,Illiterate,3
46229.19742400237,51359.61803434219,5,28859.261835587407,554750.3690880284,Post-Graduate,2
102753.11980955748,31862.203852463037,8,17428.683362098524,1233037.4377146899,Professional,4
53639.55065251754,13516.819414972177,10,7964.372262140257,643674.6078302105,Illiterate,0
82809.52296489352,55367.98966945997,7,30247.696134527043,993714.2755787222,Illiterate,1
86539.43910805914,44023.077567784494,7,15905.577680905975,1038473.2692967097,Post-Graduate,1
35879.62377357378,62923.87938017295,7,43321.93337638227,430555.4852828854,Post-Graduate,2
145741.8478870382,44012.262583399504,8,49666.846867931425,1748902.1746444583,Graduate,4
118518.59527055603,68913.61252389051,1,37621.38813077863,1422223.1432466723,Post-Graduate,1
141529.85181898647,46393.01290808641,4,4524.084764352538,1698358.2218278376,Graduate,2
135275.82905987086,47070.34786515397,6,14434.279776531905,1623309.9487184503,Illiterate,0
93705.99703355192,70749.02019937588,9,5455.481588287486,1124471.964402623,Under-Graduate,2
139062.39290323635,35261.21496592978,2,32525.58238958579,1668748.7148388363,Professional,2
22388.95028726873,15051.142133798056,1,38259.54322778923,268667.40344722476,Illiterate,0
37437.600738680325,7158.700723500423,10,46283.74154403559,449251.2088641639,Post-Graduate,0
16331.82044747533,61635.29417552143,2,21908.617320599384,195981.84536970395,Professional,0
55546.24630685701,51523.21635150985,7,45068.78247942222,666554.9556822841,Under-Graduate,1
64414.820556527484,57805.982607441765,3,43894.557952066374,772977.8466783299,Under-Graduate,1
47988.864448345426,20972.312113168307,10,15859.78583826993,575866.373380145,Graduate,4
126023.2512812701,15227.860669007732,2,43445.03127702855,1512279.0153752412,Professional,1
59945.4657371025,6090.8499250911445,7,18783.612594086324,719345.58884523,Graduate,2
